par_num,par_text,ents
413,"Другой вывод, вытекающий из анализа добытых внешней разведкой сведений, -усиление намерений США применить нечто подобное известной концепции «евростратегической войны~, используя для этого расширение «зоны ответственности~ НАТО на Восток","['Сша', 'Нато', 'Восток']"
414,"Иными словами, речь идет о создании военных баз на территории новых членов альянса, в результате чего резко возрастет мобильная досягаемость ВВС блока, что окажется весьма серьезной угрозой для России на Западе. Кроме того, уже имеющиеся базы американских ВВС в Афганистане, в среднеазиатских (бывших республиках СССР) странах являются непосредственной опасностью для России с Юга","['Ввс', 'Россия', 'Запад', 'Афганистане', 'Ссср', 'Юга']"
415,"На столе внешней разведки оказался и ряд разработок, подобных рассмотренным выше сценариям стратегических КШУ. В этих разработках фигурируют варианты ударов с применением 30 тысяч крылатых ракет мобильного базирования, которые находятся в Афганистане, в среднеазиатских странах, а затем появятся в Прибалтике и Польше","['Афганистане', 'Прибалтика', 'Польша']"
416,"Следует также отметить состояние Стратегических ядерных сил России, особенно приближение ряда основных ракет (из состава РВСН) к их предельному техническому ресурсу, а также тот факт, что значительная часть из них была уничтожена по Договору СНВ-2. Обращают на себя внимание такие прогнозирующие разработки, как американский программный документ «Единая перспектива 2010~, а также «доклад о глобальных тенденциях мирового развития до 2015 года~, подготовленный в конце 2000 года группой американских экспертов из разведывательных служб США (ЦРУ, Бюро анализа и исследований госдепартамента). В этом докладе рассматриваются пессимистические перспективы существования России и дается тревожная оценка растущей военной мощи Китая","['Стратегический Ядерный Сила', 'Россия', 'Рвсн', 'Сша (', 'Цру', 'Бюро Анализ И Исследование Госдепартамент )', 'Китай']"
417,70,[]
418,"Практическими действиями США, как следствие этих прогнозирующих разработок, были: выход Соединенных Штатов Америки из Договора ПРО-72 (13 июня 2002 г.), который был краеугольным камнем обеспечения геостратегической стабильности, продвижение военной инфраструктуры НАТО на восток и, конечно же, создание в США дорогостоящей Национальной противоракетной обороны. Все это свидетельствует о намерении США сломать достигнутые договоренности, добиться односторонних преимуществ и права применять новые виды оружия.","['Сша', 'Соединить Штат Америка', 'Нато', 'Национальный Противоракетный Оборона']"
419,"5 Тревоги и надея<,ды Ташкентского форума (из воспоминаний ветерана разведки) Глубокой ночью 11января1966 года в номере представителей советской разведки в гостинице ~Ташкент» раздался тревожный телефонный звонок. Звонили из аппарата премьера Косыгина",['Косыгин']
420,"-Только что стало известно о внезапной кончине премьер-министра Индии Лала Бахадура Шастри. Помогите срочно организовать доставку индийской делегации в аэропорт для перелета в Индию с соблюдением всех дипломатических процедур и формальностей""","['Индия', 'Лала Бахадура Шастри']"
421,"Дежурный по разведгруппе буквально лишился дара речи. Как же так? Еще несколько часов назад этот энергичный лидер индийской делегации на мирных индо-пакистанских переговорах принимал поздравления по поводу успешного завершения встречи руководителей двух конфликтующих государств, и вдруг -такой трагический финал"". Неужели все усилия и надежды Москвы были впустую? Встрече в Ташкенте предшествовало резкое обострение отношений между двумя крупными государствами Азии. В основе конфликта лежали разногласия о территориальной принадлежности Кашмира, статус которого остался не до конца отрегулированным после ухода из Индостана англичан и образования двух государств: Индии и Пакистана","['Москва', 'Ташкент', 'Азия', 'Кашмира', 'Индостана', 'Индия', 'Пакистан']"
422,Эта проблема периодически вызывала обострение обстановки между двумя странами в районе Кашмира. В августе 1965 года пакистанцы направили несколько тысяч моджахедов в Кашмир с целью поднять население этого штата против индийского правительства,"['Кашмира', 'Кашмир']"
423,"Это им не удалось, но вторжение пакистанцев переросло в серьезный вооруженный конфликт",[]
424,"Столкновение между двумя крупными государствами Азии расценивалось в Советском Союзе как возникновение опасного очага войны, который необходимо немедленно погасить. Военные действия, развернувшиеся в Кашмире, вызывали озабоченность советского правительства еще и потому, что этот район примыкал непосредст-2","['Азия', 'Советский Союз', 'Кашмире']"
425,"венно к границам СССР. В Москве понимали, что противоречия между Индией и Пакистаном сплелись в такой сложный клубок, что распутать его можно было только при наличии доброй воли сторон, в спокойной обстановке и при чрезвычайном терпении. Именно поэтому в посланиях президенту Пакистана Айюб Хану и премьерминистру Индии Л.Б. Шастри, направленных 4 сентября 1965 года, председатель Совета Министров СССР А.Н. Косыгин подчеркивал: «В нынешней серьезной обстановке вряд ли следует на первь1й план выдвигать вопрос о причинах возникновения конфликта и искать, кто прав, а кто виноват. Главные усилия должны быть сосредоточены на том, чтобы немедленно прекратить военные действия ... » Этот призыв к Индии и Пакистану сопровождался в послании Косыгина предложением добрых услуг советского правительства","['Ссср', 'Москва', 'Индия', 'Пакистан', 'Айюб Хану', 'Л.Б. Шастри', 'Совет Министр', 'А.Н. Косыгин', 'Косыгин']"
426,"Однако вооруженный конфликт продолжался, и 17 сентября Косыгин направил главам Индии и Пакистана новое послание, в котором от имени советского правительства внес на их рассмотрение предложение установить непосредственный контакт друг с другом в целях достижения договоренности о восстановлении мира между обеими странами. «В случае, если того пожелают обе стороны, -говорилось в послании, -во встрече мог бы также принять участие председатель Совета Министров СССР. Такая встреча могла бы быть проведена, например, в Ташкенте или в каком-либо другом городе Советского Союза»","['Косыгин', 'Индия', 'Пакистан', 'Совет Министр', 'Ссср', 'Ташкент', 'Советский Союз']"
427,"20 сентября президент Айюб Хан и 22 сентября премьер-министр Л.Б. Шастри в ответах на послание Косыгина дали свое согласие на проведение переговоров в Ташкенте. Этому способствовала принятая благодаря усилиям Советского Союза резолюция Совета Безопасности ООН, предлагавшая Индии и Пакистану прекратить огонь и использовать политические методы для решения спорных проблем. Это положение резолюции было выполнено, и в ночь с 22 на 23 сентября на индо-пакистанских фронтах наступило перемирие. Путь к встрече в Ташкенте был открыт","['Айюб Хан', 'Л.Б. Шастри', 'Косыгин', 'Ташкент', 'Советский Союз', 'Совет Безопасность', 'Оон', 'Индия', 'Пакистан']"
428,"В Москве началась подготовительная работа к переговорам в Ташкенте, которые были намечены на 4 января 1966 года. В этой работе активное участие приняла и внешняя разведка (Первое главное управление КГБ), которая уже располагала солидной информацией по кашмирской проблеме и другим вопросам индийско-пакистанских отношений. Тем не менее, когда было принято решение о переговорах, перед резидентурами в Дели и Карачи была поставлена задача максимально эффективно задействовать все имеющиеся возможности для получения дополнительной актуальной информации. Полученные сведения своевременно направлялись в Центр и учитывались при подготовке к предстоящим переговорам","['Москва', 'Ташкент', 'Первый Главный Управление', 'Кгб', 'Дели', 'Карачи', 'Центр']"
429,"Сотрудники разведки тщательно готовились к выполнению задач в Ташкенте, задействуя все возможности",['Ташкент']
430,73,[]
431,"К концу декабря 1965 года была сформирована оперативная группа сотрудников разведки, перед которой ставилась задача обеспечить на месте, в Ташкенте, А.Н. Косыгина необходимой информацией","['Ташкент', 'А.Н. Косыгин']"
432,"В группу были включены специалисты по проблемам Азии. На них возлагалась задача по добыче, анализу и обработке поступающей информации и подготовке ежедневной оперативной сводки для А.Н. Косыгина. Подготовке к предстоящей работе группы в Ташкенте большое внимание уделял начальник разведки А.М. Сахаровский","['Азия', 'А.Н. Косыгин', 'Ташкент', 'А.М. Сахаровский']"
433,1 января эта группа прибыла в Ташкент,['Ташкент']
434,"В этот и последующие дни в столицу Узбекистана стали съезжаться многочисленные советские и иностранные журналисты, их размещали в гостинице «Ташкент», превращенной на время переговоров в пресс-центр. А 3 января население Ташкента тепло приветствовало высоких гостей из Пакистана и Индии. А.Н. Косыгин встречал их в аэропорту и провожал в резиденции, отведенные в поселке Дарман. Сразу же началась практическая работа","['Узбекистан', 'Ташкент', 'Ташкента', 'Пакистан', 'Индия', 'А.Н. Косыгин', 'Дарман']"
435,"Об интенсивности дальнейших переговоров красноречиво говорит частота и количество встреч их участников. За шесть дней Косыгин провел с руководителями Индии и Пакистана 15 встреч. С 5 января практически ежедневно встречались министры иностранных дел Индии, Пакистана и Советского Союза для согласования вопросов к предстоящим встречам руководителей делегаций","['Косыгин', 'Индия', 'Пакистан', 'Советский Союз']"
436,"С первого же дня саммита оперативная группа разведки встала практически на бессменную вахту по добыче сведений, важных для успешного проведения переговоров. Немалое внимание уделялось и информации о настроениях среди освещавших встречу иностранных журналистов. При этом учитывалось, что переговоры проходили в обстановке, когда мир находился в состоянии холодной войны",[]
437,"Недоброжелатели Советского Союза пытались всеми способами поставить под сомнение возможность позитивного исхода ташкентской встречи. Многие политические обозреватели на Западе поспешили расценить советские предложения об организации переговоров в Ташкенте как бесперспективный политический шаг Москвы. Причем аргументом для них служил печальный опыт выступавших от имени ООН многочисленных посредников, а также неоднократные безуспешные попытки Англии и США выступить в роли «примирителей» в Индостане. Обозреватель американского агентства Ассошиэйтед Пресс писал из Вашингтона: «Соединенные Штаты были бы удивлены, если бы на организованных по инициативе Советского Союза мирных переговорах было быстро достигнуто какое-то соглашение». Попытки заронить сомнение в успехе переговоров предпринимались и некоторыми западными журналистами на их пресс-конференции в Ташкенте","['Советский Союз', 'Запад', 'Ташкент', 'Москва', 'Оон', 'Англия', 'Сша', 'Индостане', 'Ассошиэйтед Пресс', 'Вашингтон', 'Соединенные Штат']"
438,Пресс-конференции представителей индийской и пакистанской делегаций и советского представителя проводились каждый день ве-4,[]
439,"чером в гостинице «Ташкент». Журналисты получали на этих прессконференциях весьма скудную информацию. Представители сторон высказывали, как правило, осторожный оптимизм, отмечая некоторое, хотя и медленное, движение вперед в переговорах. Излюбленным выражением для характеристики прогресса в переговорах Айюб Хана и Шастри стало выражение «дюйм за дюймом»","['Ташкент', 'Айюб Хан', 'Шастри']"
440,"По вечерам после пресс-конференций гостиница «Ташкент» превращалась в своего рода журналистский дискуссионный клуб. В ресторане, в холлах, в баре и номерах гостиницы выдвигались гипотезы, строились прогнозы и высказывались самые различные догадки о том, что действительно происходит за закрытыми дверьми переговоров",['Ташкент']
441,Ход переговоров и позиции сторон подвергались ежевечернему анализу и группой сотрудников разведки,[]
442,"Все понимали, что переговоры идут трудно и что основные сложности могут возникнуть в связи с разным подходом сторон к кашмирской проблеме. Согласно ранее выраженной официальной точке зрения Индии, проблема Кашмира не могла быть предметом переговоров","['Индия', 'Кашмира']"
443,"Пакистан же, наоборот, считал, что без обсуждения кашмирской проблемы переговоры вообще беспредметны. Первый тревожный сигнал прозвучал на пресс-конференции на третий день переговоров 6 января. Выступая на этой пресс-конференции, представитель Пакистана заявил, что, с пакистанской точки зрения, «жизненно важно обсудить во всей глубине проблему Джамму и Кашмира». При этом он добавил, что по другим проблемам между представителями Индии и Пакистана «есть достаточное взаимопонимание»","['Пакистан', 'Джамму', 'Кашмира', 'Индия']"
444,О серьезных разногласиях по кашмирскому вопросу между руководителями Индии и Пакистана сотрудникам оперативной группы советских разведчиков стало известно в первые же дни переговоров,"['Индия', 'Пакистан']"
445,"Уже в первых беседах А.Н. Косыгина с Айюб Ханом и Шастри еще до официального открытия конференции, состоявшихся вечером 3 января и имевших целью согласовать повестку дня, пакистанцы заняли непримиримую позицию. Они заявили о необходимости в первую очередь решить на переговорах кашмирскую проблему, причем на пакистанских условиях. Были получены также сведения о том, что Айюб Хан и Шастри вообще не хотели больше встречаться. В сложном положении оказался А.Н. Косыгин, так как в случае провала ташкентской встречи речь шла о престиже не только его лично, но и Советского Союза","['А.Н. Косыгин', 'Айюб Хан', 'Шастри', 'Советский Союз']"
446,"В этой ситуации сотрудник оперативной группы, аккумулировавший всю разведывательную информацию по данному вопросу, предложил составить докладную записку для А.Н. Косыгина, в которой были бы определены пути выхода из тупика. Получив одобрение руководства, он уже 4 января составил записку, которая и была доложена Председателю Совета Министров СССР. На ее рассмотрение А.Н. Косыгину потребовались сутки. Для опергруппы они были сутками му-5","['А.Н. Косыгин', 'Председатель Совет Министр', 'Ссср', 'А.Н. Косыгину', 'Му-5']"
447,"чительного ожидания. Ведь разведчики вторгались в уже составленный ранее официальный план действий на переговорах. Через сутки А.Н. Косыгин пригласил к себе первого заместителя председателя КГБ СССР Н.С. Захарова, возглавлявшего оперативную группу, и заявил, что полностью согласен с содержанием записки и что в дальнейшем будет действовать в соответствии с изложенными в ней предложениями","['А.Н. Косыгин', 'Кгб', 'Ссср', 'Н.С. Захаров']"
448,"В записке, в частности, предлагалось добиться от участников переговоров согласия не обсуждать кашмирский вопрос, а отложить его решение на период после нормализации отношений между Индией и Пакистаном. В ходе же переговоров в Ташкенте решить в первую очередь вопросы об отводе войск, о принятии принципа решения спорных вопросов мирным путем, прекратить взаимную острую пропаганду, восстановить и расширить официальные отношения между Индией и Пакистаном с упором на развитие экономических связей","['Индия', 'Пакистан', 'Ташкент']"
449,"Несмотря на то что последний день переговоров -9 января -
было воскресенье, оно оказалось днем крайне напряженной работы",[]
450,"Глава советского правительства неоднократно встречался то с Шастри, то с Айюб Ханом. Встречи продолжались и поздно вечером, уже после традиционной пресс-конференции. Усилия, направленные на поиск решений, приемлемых для обеих сторон, не ослабевали. Пакистанский представитель заявил на вечерней пресс-конференции, что он остается оптимистом, а представитель Индии сказал: «Мы продолжаем надеяться~. Вместе с тем на пресс-конференции было объявлено о намерении обеих делегаций покинуть Ташкент во вторник, 11 января. Это означало, что в распоряжении участников переговоров оставался всего один день","['Шастри', 'Айюб Хан', 'Индия', 'Ташкент']"
451,"Всех, кто в Ташкенте следил за ходом переговоров, естественно, волновал вопрос, чем они закончатся. Те, кто искренне переживал за исход ташкентской встречи, начали говорить в кулуарах, что завершение переговоров даже без всякого итогового документа нельзя будет рассматривать как полную неудачу, ибо трудно вообще рассчитывать на устранение основных разногласий сторон. Однако настойчивость и дипломатическая гибкость А.Н. Косыгина принесли свои плоды и последний день переговоров -10 января -опрокинул все пессимистичные предсказания","['Ташкент', 'А.Н. Косыгин']"
452,"Как и в день открытия переговоров, в 16 часов Косыгин с согласия президента Пакистана Айюб Хана и премьер-министра Индии Шастри открыл заключительное заседание ташкентской встречи. В зале заседания прозвучали слова главы советского правительства о том, что сейчас будет зачитана Ташкентская декларация. Текст декларации был зачитан на русском и английском языках, после чего президент Пакистана и премьер-министр Индии подписали ее и обменялись сафьяновыми папками с этим важным документом. А.Н. Косыгин подошел к участникам переговоров и поздравил их с успешным за-6","['Косыгин', 'Пакистан', 'Айюб Хан', 'Индия', 'Шастри', 'А.Н. Косыгин']"
453,вершением встречи. Айюб Хан и Шастри под овации зала скрепили свои подписи долгим дружеским рукопожатием,"['Айюб Хан', 'Шастри']"
454,"В заключительной части Ташкентской декларации премьер-министр Индии и президент Пакистана заявили о своих чувствах глубокой признательности и благодарности руководителям Советского Союза, советскому, правительству и лично Председателю Совета Министров СССР за конструктивную, дружественную и благородную роль в организации встречи, которая привела к взаимно удовлетворительным результатам","['Индия', 'Пакистан', 'Советский Союз', 'Председатель Совет Министр', 'Ссср']"
455,День подписания декларации завершился большим приемом в честь руководителей Индии и Пакистана. Настроение было праздничным. Дом прессы в гостинице «Ташкент» еще долго после приема гудел многоязычьем,"['Индия', 'Пакистан', 'Ташкент']"
456,"Приподнятое настроение было и у сотрудников разведки. При зачтении текста декларации они испытывали особые чувства, узнавая во многих параграфах мысли, изложенные ими в докладной записке Косыгину. Стало известно, что А.Н. Косыгин дал высокую оценку их работе","['Косыгин', 'А.Н. Косыгин']"
457,"Местная газета «Правда Востока» констатировала: «Ровно неделю длились переговоры, по-разному их оценивала мировая пресса",['Правда Восток']
458,Но эта минута свела все оценки к одной: на столе лежит самое весомое доказательство плодотворности Ташкентской встречи -текст согласованной обеими сторонами Декларации»,['Ташкентской Встреча']
459,"Как и предполагалось, в Ташкенте сложную кашмирскую проблему решить было невозможно. Однако руководители Индии и Пакистана заявили в Ташкентской декларации о твердой решимости восстановить нормальные и мирные отношения между своими странами и подтвердили свое обязательство в соответствии с Уставом ООН не прибегать к силе и решать свои споры мирным путем. «Именно с учетом этого, -говорилось в декларации, -обсуждался вопрос о Джамму и Кашмире, и каждая из сторон изложила свою соответствующую ПОЗИЦИЮ»","['Ташкент', 'Индия', 'Пакистан', 'Оон', 'Джамму', 'Кашмире', 'Позицию']"
460,"Сразу же после подписания Ташкентской декларации Индия и Пакистан приступили к реализации предусмотренных декларацией мер по установлению мира на Индостане. Еще находясь в Ташкенте, вечером 10 января секретарь пакистанского Министерства информации и радиовещания отдал распоряжение, в котором государственному радио Пакистана рекомендовалось воздерживаться от каких бы то ни было антииндийских высказываний. Обе стороны сразу же приступили к реализации предусмотренного декларацией отвода войск с территорий, захваченных ими во время военных действий, и их отвод закончился точно в установленный декларацией срок -25 февраля","['Ташкентской Декларация', 'Индия', 'Пакистан', 'Индостане', 'Ташкент', 'Министерство Информация И Радиовещание']"
461,"Внезапная смерть премьер-министра Шастри омрачила настроения индийцев, но не смогла помешать выполнению договоренностей. К середине января были восстановлены нормальные дипломатические 77",['Шастри']
462,"отношения между Индией и Пакистаном, и послы (верховные комиссары) обеих стран вернулись к исполнению своих обычных обязанностей. В январе же между странами были восстановлены авиасообщение и почтово-телеграфная и телефонная связь. Все это говорило о существенном сдвиге в сторону нормализации отношений между Индией и Пакистаном","['Индия', 'Пакистан']"
463,"На одной из пресс-конференций в Ташкенте пакистанский представитель Гохар подчеркнул, что Советский Союз предоставил Пакистану и Индии великолепную возможность нормализовать свои отношения. «А уж как мы используем эту возможность, -сказал он, -
это зависит от нас»","['Ташкент', 'Гохар', 'Советский Союз', 'Пакистан', 'Индия']"
464,Опасный очаг войны был погашен. Достигнутые в Ташкенте договоренности обеспечили мирную пятилетку в отношениях между Индией и Пакистаном.,"['Ташкент', 'Индия', 'Пакистан']"
465,"6 Афганистан, декабрь 1979 года (глазами очевидца) Вследствие чего разлагаются и гибнут победоносные в прошлом армии, как и почему рушатся мировые империи и супердержавы? Ответить на эти вопросы точно и объективно не может, наверное, ни один историк или политик",['Афганистан']
466,"Невозможно учесть и связать воедино все элементы исторических процессов, нет и механизма, который бы точно учитывал настроение общественных слоев и групп, а также возможные формы проявления этих настроений. Все объяснения крупных исторических явлений носят, по моему убеждению, лишь приблизительный характер",[]
467,"Думаю, что в рамках подобной приблизительности я могу изложить и свое мнение по поводу нашей вовлеченности в афганские дела",[]
468,"Тезис о том, что ввод наших войск в Афганистан был ошибкой советского руководства, получил широкое распространение в мире, и в этом никто уже как бы не сомневается. Мне кажется, что не сам ввод войск в Афганистан был трагической ошибкой, а именно их присутствие там в течение десяти лет",['Афганистан']
469,"Убедившись в течение первого года, что присутствие и военные действия нашей армии в Афганистане не способствуют ни стабилизации обстановки в стране, ни консолидации дружественного нам режима, из Афганистана надо было уходить","['Афганистане', 'Афганистан']"
470,"Ни трезвости, ни мужества, ни дальновидности в этом вопросе советское руководство не проявило, хотя некоторые наши военачальники и политики хорошо понимали ситуацию",[]
471,"На регулярных совещаниях, где обсуждалось развитие обстановки в Афганистане и на которых я присутствовал, маршал С.Ф. Ахромеев и генерал армии В.И. Варенников говорили вполголоса: <.\Поймите, ведь советская армия воюет с народом, и никакой победы в Афганистане быть не может!»","['Афганистане', 'С.Ф. Ахромеев', 'В.И. Варенников']"
472,"Мне кажется, что политические, экономические и национальные явления кризисного порядка, которые начали назревать в нашем го-9",[]
473,"сударстве с 70-х годов, усугубила афганская эпопея. Афганистан не позволил нам выйти на поиски путей выхода из кризиса, что еще больше осложнило положение нашей армии и государства",['Афганистан']
474,"К афганской трагедии я лично оказался причастен, так как весь декабрь 1979 года провел в Кабуле, где выполнял вместе со своими коллегами указания руководства СССР и КГБ","['Кабуле', 'Ссср', 'Кгб']"
475,"После смены власти в Кабуле 27 декабря 1979 года всем участникам этой операции было рекомендовано все забыть, а документы оперативного характера уничтожить. Ликвидировал и я свои служебные записи, где не только по дням и часам, но и по минутам было расписано, как развивались события в Афганистане в декабре 1979 года","['Кабуле', 'Афганистане']"
476,"Прошли годы, сменилась власть и те начальники, которые призывали к молчанию, начали писать на афганскую тему мемуары, выступать на телевидении, давать интервью и т.п. Причем в авангарде рассказчиков о событиях в Афганистане почему-то оказались именно бывшие сотрудники КГБ, а отнюдь не армейские генералы. То ли представители КГБ устали от своей прежней тотальной секретности и им захотелось выйти из «зоны молчания», то ли в армии присяга оказалась покрепче? Не знаю","['Афганистане', 'Кгб']"
477,"Во всяком случае, рассказывать о некоторых «тайных операциях» разведки в Афганистане, на мой взгляд, не следовало бы, поскольку это разоружает и дезориентирует молодые поколения разведчиков",['Афганистане']
478,"Я не ставлю перед собой задачу написать все, что знаю о нашей вовлеченности в афганские дела, тем более что большинство интересных страниц этой эпопеи уже прочитаны и перевернуты",[]
479,"Нет, наверное, смысла рассказывать вновь, кто и как принимал решение о вводе войск в Афганистан; как по приказу Амина задушили его «единственного и любимого» учителя Тараки; как в четырех специально сконструированных «гробах» вывозили кружным путем в Москву четырех ближайших соратников Амина, ставших его противниками; как откомандировывали из Кабула советских военных советников, испытывавших большие симпатии к Амину; как проходил штурм дворца Амина Дар-уль-Аман; как заменяли Бабрака Кармаля на Наджибуллу -обо всем этом не раз говорилось в средствах массовой информации, исследованиях и мемуарах","['Афганистан', 'Амина', 'Тараки', 'Москва', 'Кабула', 'Амину', 'Амина Дар - Уль - Аман', 'Бабрака Кармаля', 'Наджибуллу']"
